ticket_id,created_at,updated_at,closed_at,status,priority,category,subcategory,title,description,contour,affected_device,affected_service,reporter,assignee,assignee_team,resolution_time_min,root_cause,resolution,comments
INC-2025-0041,2025-01-08 02:13:00,2025-01-08 03:47:00,2025-01-08 03:47:00,closed,critical,incident,network_outage,Полный отказ BGP-сессии с TransTeleCom (AS20485),"В 02:13 зафиксирован полный обрыв BGP-сессии с провайдером TransTeleCom на cr-01.msk. Трафик переключился на резервный канал Rostelecom, деградация скорости до 40%.",PROD-CORE,cr-01.msk,Интернет-доступ,noc-duty@dubaline.local,Алексей Воронов,Core Network,94,Сбой BGP-аутентификации после смены ключа на стороне провайдера без уведомления,"Согласовано с TransTeleCom обновление ключа аутентификации на cr-01.msk. BGP-сессия восстановлена.","TransTeleCom не уведомил об изменении ключа. Рекомендовано добавить в SLA требование уведомления за 24 часа."
INC-2025-0073,2025-01-14 11:28:00,2025-01-14 12:55:00,2025-01-14 12:55:00,closed,high,incident,hardware_failure,Отказ SFP-модуля на линке cr-01.msk — cr-02.spb,"SFP-трансивер на xe-1/0/0 cr-01.msk показал CRC-ошибки >1000/сек. Линк xe-1/0/0 перешёл в err-disabled. ISIS-сосед cr-02.spb потерян, MPLS-трафик переключился на резервный путь через cr-03.ekb.",PROD-CORE,cr-01.msk,MPLS / Core-to-Core,helpdesk@dubaline.local,Алексей Воронов,Core Network,87,"Физический дефект SFP Juniper JNP-10G-LR (S/N: JU19041823), износ после 3 лет эксплуатации","Произведена замена SFP на новый (S/N: JU25011901). Линк восстановлен, ISIS-сосед поднят, MPLS LSP переключился обратно.","Рекомендовано проводить ежегодную проверку всех SFP на PROD-CORE. Создана задача CHG-2025-0110 на плановую замену SFP-модулей старше 2 лет."
CHG-2025-0201,2025-02-05 22:00:00,2025-02-05 23:30:00,2025-02-05 23:30:00,closed,medium,change,planned,Обновление прошивки Juniper MX480 cr-01.msk (19.4R3-S7 → 21.4R2),"Плановое обновление JunOS. Окно работ: 22:00-02:00 МСК. Одобрено: Сергей Кириллов (руководитель отдела), Олег Тарасов (CTO). Согласовано окно с владельцами сервисов. Контур: PROD-CORE.",PROD-CORE,cr-01.msk,Все сервисы через PROD-CORE,Алексей Воронов,Алексей Воронов,Core Network,90,N/A (плановые работы),"JunOS успешно обновлён с 19.4R3-S7 до 21.4R2. Reboot выполнен в 22:15, оборудование поднялось в 22:23. Все MPLS LSP, BGP-сессии, ISIS-соседи восстановились. Downtime: 8 минут.","Замечаний нет. Post-change конфигурация сохранена в \\\\nas-01.dubaline.local\\net-backup\\post-change\\"
INC-2025-0112,2025-02-12 09:42:00,2025-02-12 11:18:00,2025-02-12 11:18:00,closed,high,incident,routing_issue,Потеря маршрутов VLAN-PROD-DB в PROD-DC1,"Мониторинг зафиксировал недоступность 172 IP-адресов в подсети 10.10.200.0/24 (VLAN-PROD-DB). Затронуты серверы баз данных. Приложения получают timeout при обращении к БД.",PROD-DC1,dc1-leaf-03.msk,Серверы баз данных,helpdesk@dubaline.local,Михаил Сергеев,Data Center,96,"STP topology change на dc1-leaf-03.msk после некорректного подключения нового сервера без stp edged-port. VLAN-PROD-DB временно потерял шлюз на данном LEAF.","1. Отключен порт с некорректным STP. 2. На порту сервера включён stp edged-port. 3. VLAN-PROD-DB восстановлен. Все подключения к БД восстановлены.","Создано требование: все порты подключения серверов обязаны иметь stp edged-port. Обновлён регламент проведения работ на PROD-DC1."
CHG-2025-0287,2025-02-24 00:00:00,2025-02-24 02:15:00,2025-02-24 02:15:00,closed,medium,change,planned,Добавление нового VLAN-PROD-BACKUP (VLAN 500) в PROD-DC1 и PROD-DC2,"Заявка от команды резервного копирования. Новый VLAN 500 для трафика резервного копирования (Veeam). Необходима настройка на всех LEAF-нодах dc1/dc2 и создание L3VPN VRF-BACKUP. Окно: 00:00-04:00 МСК. Одобрено: Михаил Сергеев, Сергей Кириллов.",PROD-DC1;PROD-DC2,"dc1-leaf-01.msk, dc1-leaf-02.msk, dc2-leaf-01.spb, dc2-leaf-02.spb",Резервное копирование,backup-team@dubaline.local,Михаил Сергеев,Data Center,135,N/A (плановые работы),"VLAN 500 добавлен на всех 4 LEAF-нодах. VNI 10500 настроен. VBDIF500 создан как шлюз 10.10.50.254/24. VRF-BACKUP настроен. Трафик Veeam проходит успешно.","Замечание: на dc2-leaf-02.spb обнаружен устаревший конфиг VLAN 450 (orphan). Рекомендовано удалить. Создан тикет INC-2025-0298."
INC-2025-0156,2025-03-03 08:05:00,2025-03-03 09:20:00,2025-03-03 09:20:00,closed,critical,incident,network_outage,Отказ PROD-DC2 — потеря всех EVPN-инстансов,"В 08:05 NOC зафиксировал полный сброс всех EVPN-сессий на dc2-spine-01.spb. Все LEAF-ноды потеряли EVPN-связность. ЦОД Санкт-Петербург полностью недоступен. Активирован план DR.",PROD-DC2,dc2-spine-01.spb,Все сервисы PROD-DC2,noc-duty@dubaline.local,Михаил Сергеев,Data Center,75,Исчерпание памяти на dc2-spine-01.spb (Huawei CE12804) из-за memory leak в BGP-процессе после обновления VRP V200R005C10SPC800. Процесс bgpd завершился аварийно.,"1. Принудительный перезапуск bgpd-процесса на dc2-spine-01.spb. 2. Все EVPN-сессии восстановлены (07 минут). 3. Применён hotfix VRP V200R005C10SPH010 от Huawei.","Huawei уведомлён об известном баге. До патча рекомендовано ежедневно проверять потребление памяти через мониторинг. Добавлен алерт в Zabbix: memory usage >85% на spine-нодах."
INC-2025-0198,2025-03-17 14:32:00,2025-03-17 15:45:00,2025-03-17 15:45:00,closed,high,incident,configuration_error,Неправильная маска в irb.100 на dc1-leaf-02.msk привела к split-brain,"После плановых работ обнаружено: irb.100 на dc1-leaf-02.msk имеет маску /25 вместо /24. Половина APP-серверов (10.10.100.128/25) недоступна с шлюза dc1-leaf-01.msk.",PROD-DC1,dc1-leaf-02.msk,Серверы приложений (50% хостов),noc-duty@dubaline.local,Михаил Сергеев,Data Center,73,Ошибка при вводе команды во время работ CHG-2025-0354. Команда была введена без проверки коллегой.,"Исправлена маска irb.100 на dc1-leaf-02.msk с /25 на /24. Связность восстановлена полностью.","Введено обязательное peer-review конфигурационных команд на PROD-DC нодах перед apply. Обновлён регламент CHG-2025-0201."
CHG-2025-0412,2025-04-02 23:00:00,2025-04-03 01:00:00,2025-04-03 01:00:00,closed,medium,change,planned,Настройка QoS-политик на cr-01.msk и cr-02.spb для VoIP-трафика,"Запрос от команды телефонии. Необходима разметка DSCP EF (46) для RTP/SIP, BW-гарантия 200 Mbps на PROD-CORE. Окно: 23:00-03:00 МСК. Одобрено: Сергей Кириллов.",PROD-CORE,"cr-01.msk, cr-02.spb",VoIP / IP-телефония,voip-team@dubaline.local,Алексей Воронов,Core Network,120,N/A,"QoS-политики настроены на cr-01.msk (Juniper) и cr-02.spb (Huawei). DSCP EF для RTP/SIP. Jitter <5ms на тестовых вызовах. SLA телефонии выполняется.","Мониторинг QoS добавлен в Grafana dashboard: https://monitoring.dubaline.local/grafana/voip"
INC-2025-0267,2025-04-15 16:58:00,2025-04-15 18:10:00,2025-04-15 18:10:00,closed,high,incident,security_incident,Обнаружен несанкционированный VLAN 999 на PROD-OFFICE,"NOC зафиксировал аномальный трафик из VLAN 999, который отсутствует в реестре VLAN. Трафик обнаружен на 3 access-коммутаторах в московском офисе. Инженер по безопасности уведомлён.",PROD-OFFICE,"acc-office-msk-03, acc-office-msk-07, acc-office-msk-11",Офисная сеть Москва,noc-duty@dubaline.local,Наталья Исаева,Network Security,72,"Подрядчик при прокладке кабелей случайно создал VLAN 999 в trunk-конфигурации. Трафик был изолирован, угрозы нет. VLAN не маршрутизируется.","1. VLAN 999 удалён со всех access-коммутаторов. 2. Trunk-конфигурации проверены. 3. Инцидент закрыт как ложная тревога.","Подрядчику запрещён самостоятельный доступ к оборудованию без сопровождения инженера отдела. Обновлён регламент работ подрядчиков."
CHG-2025-0498,2025-04-28 01:00:00,2025-04-28 04:30:00,2025-04-28 04:30:00,closed,high,change,planned,Миграция PROD-DC1 с STP на EVPN/VXLAN fabric (Phase 1),"Переход первых 8 VLAN с legacy STP на новую EVPN/VXLAN фабрику. Одобрено: Сергей Кириллов, Олег Тарасов. Окно: 01:00-06:00 МСК. VLAN: 100,200,300,400.",PROD-DC1,"dc1-leaf-01.msk, dc1-leaf-02.msk, dc1-spine-01.msk",Серверы приложений и БД,Михаил Сергеев,Михаил Сергеев,Data Center,210,N/A,"Phase 1 успешна: VLAN 100,200,300,400 переведены на EVPN/VXLAN. Anycast gateway работает. Трафик прошёл проверку. Downtime: 6 минут на VLAN 100 из-за задержки конвергенции STP.","Phase 2 запланирована на CHG-2025-0612 (VLAN 500+). Рекомендовано увеличить таймеры EVPN ARP-suppression."
